check,file,atol,bulk_failing,bulk_margin,bulk_values,combined_margin,files,max_absolute_error_below_atol,max_bound_fraction,max_relative_error_above_atol,near_zero_failing,near_zero_margin,near_zero_values,rtol,values,values_failing
designer-mc5e,4_Des_mc5e_wCDM_1_totCls.dat,0.1,0,10.38129999995043,13947,21.511400000019567,1,3.000000000016878e-07,0.046486978997140604,9.632704959925779e-06,0,333333.33333145804,3548,0.0001,17495,0
designer-mc5e,4_Des_mc5e_wCDM_1_transfer_out.dat,1000.0,0,,1996,9999999999459340.0,1,1.0000000000540735e-13,1.0000000000540659e-16,0.0,0,9999999999459266.0,1319,0.0001,3315,0
designer-mc5e,4_Des_mc5e_wCDM_2_lensedCls.dat,0.1,0,10.591600000024684,13547,111.18060000104911,1,5.000000000005e-07,0.008994374917841457,9.441444163277215e-06,0,199999.9999998,3448,0.0001,16995,0
designer-mc5e,4_Des_mc5e_wCDM_2_lensedtotCls.dat,0.1,0,10.202999999951283,13556,34.643500000819216,1,4.000000000010939e-07,0.02886544373335122,9.801038910171272e-06,0,249999.99999931632,3439,0.0001,16995,0
designer-mc5e,4_Des_mc5e_wCDM_2_lenspotentialCls.dat,0.1,0,10.309799999932459,13947,34.3735999992497,1,5.000000000005e-07,0.029092093933187905,9.699509204897779e-06,0,199999.9999998,14045,0.0001,27992,0
designer-mc5e,4_Des_mc5e_wCDM_2_matterpower.dat,1.0,0,,725,,1,0.0,0.0,0.0,0,,585,0.0001,1310,0
designer-mc5e,4_Des_mc5e_wCDM_2_scalCls.dat,100.0,0,16.430200000014942,9513,10016.43020000911,1,0.00010000000000331966,9.98359675085731e-05,6.08635317889673e-06,0,999999.9999668035,11481,0.0001,20994,0
designer-mc5e,4_Des_mc5e_wCDM_2_scalarCovCls.dat,0.1,0,10.429499999931675,17422,24.984200000022724,1,5.000000000005e-07,0.04002529598702742,9.588187353243695e-06,0,199999.9999998,73552,0.0001,90974,0
designer-mc5e,4_Des_mc5e_wCDM_2_tensCls.dat,0.01,0,,6808,1000043.5328059391,1,9.999999999940612e-09,9.999564690890836e-07,0.0,0,1000000.0000059388,10687,0.0001,17495,0
designer-mc5e,4_Des_mc5e_wCDM_2_totCls.dat,0.1,0,10.309799999932459,13947,34.3735999992497,1,5.000000000005e-07,0.029092093933187905,9.699509204897779e-06,0,199999.9999998,3548,0.0001,17495,0
designer-mc5e,4_Des_mc5e_wCDM_2_transfer_out.dat,1000.0,0,,1985,,1,0.0,0.0,0.0,0,,1304,0.0001,3289,0
gr-baseline,1_EFT_GR_lensedCls.dat,0.1,0,22.6981999998513,13547,1041.3294999654313,1,1.0000000000287557e-07,0.0009603108334424374,4.405635689202453e-06,0,999999.9999712444,3448,0.0001,16995,0
gr-baseline,1_EFT_GR_lensedtotCls.dat,0.1,0,10.162600000023685,13556,128.07279999574843,1,1.0000000000287557e-07,0.007808059166608339,9.840001574377319e-06,0,999999.9999712444,3439,0.0001,16995,0
gr-baseline,1_EFT_GR_lenspotentialCls.dat,0.1,0,11.969100000187357,13947,27.497000000025015,1,1.0000000000287557e-07,0.03636760373855658,8.354847064393703e-06,0,999999.9999712444,14045,0.0001,27992,0
gr-baseline,1_EFT_GR_matterpower.dat,1.0,0,,725,,1,0.0,0.0,0.0,0,,583,0.0001,1308,0
gr-baseline,1_EFT_GR_scalCls.dat,100.0,0,20.367000000018525,9538,10020.367000009113,1,0.00010000000000331966,9.979674397146238e-05,4.909903274901019e-06,0,999999.9999668035,11456,0.0001,20994,0
