check,file,line,column,coordinate,reference,candidate,absolute_error,relative_error,allowed,bound_fraction
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3230,2,3230.0,964.625,964.311,0.31399999999996453,0.00032551509654006947,0.1964625,1.5982693898324847
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3231,2,3231.0,963.173,962.859,0.31399999999996453,0.00032600581619290046,0.19631730000000003,1.5994515001987317
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3232,2,3232.0,961.748,961.434,0.3140000000000782,0.0003264888515495516,0.1961748,1.6006133305606949
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3233,2,3233.0,960.348,960.035,0.3129999999999882,0.0003259235193908752,0.1960348,1.5966552877345663
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3234,2,3234.0,958.971,958.659,0.3120000000000118,0.0003253487331733825,0.1958971,1.592672887960117
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3235,2,3235.0,957.617,957.305,0.3120000000000118,0.0003258087523509,0.1957617,1.5937744717174596
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3236,2,3236.0,956.284,955.973,0.31100000000003547,0.00032521719489193114,0.1956284,1.589748727690026
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3237,2,3237.0,954.972,954.661,0.31100000000003547,0.00032566399852564836,0.1954972,1.5908156229349344
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3238,2,3238.0,953.677,953.368,0.3089999999999691,0.0003240090722539907,0.19536770000000003,1.581632992556953
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3239,2,3239.0,952.4,952.091,0.3089999999999691,0.0003244435111297449,0.19524000000000002,1.582667486170708
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3240,2,3240.0,951.139,950.831,0.3079999999999927,0.0003238222804448064,0.1951139,1.5785651355438681
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3241,2,3241.0,949.893,949.586,0.30700000000001637,0.0003231942966207945,0.19498930000000003,1.574445367002273
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3242,2,3242.0,948.66,948.354,0.30599999999992633,0.0003225602428688111,0.194866,1.570309853950542
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3243,2,3243.0,947.439,947.134,0.30499999999995,0.00032192046137001956,0.19474390000000003,1.5661594535179275
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3244,2,3244.0,946.229,945.926,0.30299999999999727,0.00032021846719979756,0.19462290000000002,1.5568568755269665
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3245,2,3245.0,945.028,944.726,0.3020000000000209,0.00031956725091745526,0.19450280000000003,1.5526768766311891
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3246,2,3246.0,943.836,943.535,0.30100000000004457,0.0003189113362915216,0.19438360000000002,1.5484845429349212
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3247,2,3247.0,942.65,942.351,0.29899999999997817,0.0003171908980002951,0.19426500000000002,1.5391346871540326
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3248,2,3248.0,941.47,941.172,0.2980000000000018,0.00031652628336537736,0.19414700000000001,1.5349194167306308
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3249,2,3249.0,940.294,939.998,0.2959999999999354,0.0003147951598116498,0.19402940000000002,1.5255420054895568
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3250,2,3250.0,939.122,938.826,0.2959999999999354,0.0003151880160404457,0.1939122,1.5264640388791186
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3251,2,3251.0,937.95,937.657,0.29300000000000637,0.000312383389306473,0.193795,1.5119069119430655
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3252,2,3252.0,936.78,936.488,0.2919999999999163,0.0003117060569182907,0.19367800000000002,1.5076570390024489
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3253,2,3253.0,935.611,935.321,0.2899999999999636,0.0003099578777931893,0.1935611,1.4982349242692028
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3254,2,3254.0,934.442,934.153,0.28899999999998727,0.000309275482052377,0.1934442,1.4939708711865605
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3255,2,3255.0,933.272,932.985,0.28700000000003456,0.0003075202084708794,0.19332720000000003,1.4845298540507208
kmouflage-kmimic,5_Kmimic_1_lenspotentialCls.dat,3256,2,3256.0,932.101,931.816,0.28499999999996817,0.00030576085638784657,0.1932101,1.4750781662033619
