model,nodes,a,theta,C_exact,C_table,C_error_over_exact_AH2
5_Kmimic_2,2000,0.02,0.63988459247760102580711672825128450106795256030610823106,-6.21352482651193311141685422100655579026867757932871850966834E-12,-6.21654696351593838575877607774402153265815795633400050407192E-12,-0.000167320741628831900652141137509779877324033408352751464663210
5_Kmimic_2,3997,1E-8,0,0.309452514397283435872780040753257946132520194970253061863070,0.309452514397283435872780040753257946132520194970253061863070,0E-9
5_Kmimic_2,3997,1.032675384295327E-8,0.199938274151950010189810199239682558313528572846612978074,0.290727639616003795051629416982015835271375836152581633489416,-20213.9088632802860768314950295283534261969465331825949260310,-0.0000996924553733122349936499659119043808782184430808660341304986
5_Kmimic_2,3997,0.000001,0,0.0000334676149842934072306819641865468552619193361851913216074584,0.0000334676149842934072306819641865468552619193361851913216074584,0.00000
5_Kmimic_2,3997,0.02,0.65731807480765067490006925767490388507630736917619234183,-6.21352482651193311141685422100655579026867757932871850966834E-12,-6.21426282225744425338997309617048878649992482087493432623601E-12,-0.0000408591653171893926529920513635186436218585310743181682888596
5_Kmimic_2,7993,1E-8,0,0.309452514397283435872780040753257946132520194970253061863070,0.309452514397283435872780040753257946132520194970253061863070,0E-9
5_Kmimic_2,7993,1.032675384295327E-8,0.399876548303900020379620398479365116627057145693225956149,0.290727639616003795051629416982015835271375836152581633489416,-7617.90131151407614331863747919702771914931087030569045217462,-0.0000375714243085738700680218949428900012548808575346200558021381
5_Kmimic_2,7993,0.000001,0,0.0000334676149842934072306819641865468552619193361851913216074584,0.0000334676149842934072306819641865468552619193361851913216074584,0.00000
5_Kmimic_2,7993,0.02,0.31463614961530134980013851534980777015261473835238468367,-6.21352482651193311141685422100655579026867757932871850966834E-12,-6.21370083232087501149559128034833793727882264738088663255213E-12,-0.00000974456897358112567432365630505009233786149662426093159905928
5_Kmimic_3,1000,1E-8,0,0.0328139356552479118716696784385300187427743678803188690957466,0.0328139356552479118716696784385300187427743678803188690957466,0E-9
5_Kmimic_3,1000,1.032675384295327E-8,0.549984568537987502547452549809920639578382143211653244519,0.0308420692819480042243141731915518921392294957639710373320253,-57143.5643144568838253221628158541965333507912203582732417213,-0.00249494023195951267035354510428695317708660195239996992048119
5_Kmimic_3,1000,0.000001,0,0.00000360512324009870305676838903530649219510363592106508551063133,0.00000360512324009870305676838903530649219510363592106508551063133,0.00000
5_Kmimic_3,1000,0.02,0.414329518701912668725017314418725971269076842294048085458,-7.37211359139323999019772137013171941567627569533161394658818E-13,-7.38578853349994144547281583273138529884820514858898429444566E-13,-0.000738614132784587261208303895201471655785930613706282376301583
5_Kmimic_3,1999,1E-8,0,0.0328139356552479118716696784385300187427743678803188690957466,0.0328139356552479118716696784385300187427743678803188690957466,0E-9
5_Kmimic_3,1999,1.032675384295327E-8,0.099969137075975005094905099619841279156764286423306489038,0.0308420692819480042243141731915518921392294957639710373320253,-5092.30250542444580027911079177446404947264040229420176009357,-0.000222335806986063641363312045950017282502361631975168815330584
5_Kmimic_3,1999,0.000001,0,0.00000360512324009870305676838903530649219510363592106508551063133,0.00000360512324009870305676838903530649219510363592106508551063133,0.00000
5_Kmimic_3,1999,0.02,0.82865903740382533745003462883745194253815368458809617091,-7.37211359139323999019772137013171941567627569533161394658818E-13,-7.37414174155610161041855402365043007866958933639583732145991E-13,-0.000109544915218679038295214463018090315548385990993988922063811
5_Kmimic_3,2000,1E-8,0.111111111111111111111111111111111111111111111111111111111,0.0328139356552479118716696784385300187427743678803188690957466,-6353.40581227333018931359333691264433155202736223002799625898,-0.000243920891603961546377505545237633779450038298430483266746335
5_Kmimic_3,2000,1.032675384295327E-8,0.212631784291728746338696343413444803320506410690785621414,0.0308420692819480042243141731915518921392294957639710373320253,-9507.55525286237612582196477672697840317642743720326588181952,-0.000415109672257902270106342453484432073016751358140327567592912
5_Kmimic_3,2000,0.000001,0.333333333333333333333333333333333333333333333333333333333,0.00000360512324009870305676838903530649219510363592106508551063133,-0.000142320007490465246654484586372485342791837662591156829115725,-0.000549157168471625448233896543698746275524045444865882679528700
5_Kmimic_3,2000,0.02,0.63988459247760102580711672825128450106795256030610823106,-7.37211359139323999019772137013171941567627569533161394658818E-13,-7.37538466578428939867156047070361214781413869302033448913286E-13,-0.000176678025820294392220753921982216388280648895280081360682405
5_Kmimic_3,3997,1E-8,0,0.0328139356552479118716696784385300187427743678803188690957466,0.0328139356552479118716696784385300187427743678803188690957466,0E-9
5_Kmimic_3,3997,1.032675384295327E-8,0.199938274151950010189810199239682558313528572846612978074,0.0308420692819480042243141731915518921392294957639710373320253,-2285.32832633372094734902704914323015597069303676511469090150,-0.0000997808156471058310601743820704212382976543703454434342471061
5_Kmimic_3,3997,0.000001,0,0.00000360512324009870305676838903530649219510363592106508551063133,0.00000360512324009870305676838903530649219510363592106508551063133,0.00000
5_Kmimic_3,3997,0.02,0.65731807480765067490006925767490388507630736917619234183,-7.37211359139323999019772137013171941567627569533161394658818E-13,-7.37291239311578348829156708785206311778945577017653025467174E-13,-0.0000431450632082870479676055603107218136331575861644767214954217
5_Kmimic_3,7993,1E-8,0,0.0328139356552479118716696784385300187427743678803188690957466,0.0328139356552479118716696784385300187427743678803188690957466,0E-9
