model,a,theta,C_exact,C_table,C_exact_over_AH2,C_table_over_AH2,C_difference_over_exact_AH2,B_exact_over_AH,B_table_over_AH,sound_exact,sound_table,kinetic_table,gradient_table,Hdot_closure_over_H2,omega_derivative_relative,gamma1_derivative_relative,c_derivative_relative,lambda_derivative_relative
5_Kmimic_2,0.0689824696814694152684888880220030892197316366742405312888598,0.10000000000000000000000000000000000000000000000000000000,-1.18185635243050666804589788455351058533169801432824830774386E-12,-1.18267164648612681326439570152602164946910513196225611097052E-12,-1.49787372800021553746317971651304865785263559101298876917669,-1.49845961399902088474388043062639151628563719321442089747720,-0.00103329608881547149348010335284177036958027089532169786310560,-0.0233131951556326363806334724107063538892495201789043556072242,-0.0238918540901943493398357247863372478393962255249340441311616,0.00582771612119386250701406130493253487755427984770200441836749,0.00582609865719769207300626348878745368066700959680210870854164,0.000128920254356613285857199741382682003327908182931359799074465,7.51102120792649576137242159358480665338051038190320065446080E-7,-0.000263436891459553010243624080131451898233319648759001304721202,0.00985867456796724734140592264320362848078469151731078701990810,0.0321286921102376750599367747038647448518713418945186317748085,0.00282160433841999390480834871616614455706331042046013482373420,0.0250906912449978166403613924969049972045833524242138486325055
5_Kmimic_2,0.0695572402049273083439538442091799950169870349006746930016143,0.50000000000000000000000000000000000000000000000000000000,-1.15529956351594158795477215744284781258670653974402583238381E-12,-1.15758250332931069932236993095165153553144044816510810210669E-12,-1.50146436565425822077240544941980582121700681162959530749921,-1.50315571692149752018374086049756610318702837298581620106724,-0.00296698180017948656418934518239384458964948921764549861725812,-0.0271724581317205105848477081311495739176496827962065479425035,-0.0288430766432755159600640540446770840835984611092172670559715,0.00587629009214996558077994021710771816675932950636048494589345,0.00587165114321889295863291940393537994484111396297249267971723,0.000126838939459112057086364148756605943015515241518697277312802,7.44754003879767262484298087948303370370301577250709641166974E-7,-9.59848614474192863044330699264465807750268845751478495296978E-7,0.0000238013350692428631144017660095815683217284708284003500651275,0.00100076919698918215063798306158757189035525307128352605844683,0.0000790883503507571227039291817732870428304754743000055011161331,0.000252301160216585977421628994893645368997684394308410688952885
5_Kmimic_2,0.0701367997879268722576804376421414544256930502864580360820054,0.90000000000000000000000000000000000000000000000000000000,-1.12925997064071008236658811700968662335479017076348286565277E-12,-1.13008847842272861957416926257156189529297064683005545348972E-12,-1.50500433519018355548489286131226943107332600944019541277588,-1.50563782360257304566162257866902187863646651512652402423104,-0.00110418135424497689143595249398452924984332865967751279624977,-0.0309843275459601877457277199187448255802941015509173723336785,-0.0316100985937123693329817333461249430285272288507785540138957,0.00592544661175161486521547878236548326065331758282227718771041,0.00592372030888096452435190551727276028225849386901359562745109,0.000124652421195973615347053766230728866617037229741818055889264,7.38406078989772914011747144509900599807710544021710159074475E-7,0.000265890669451146306026826839639788597833049128149056252003147,0.00980905215091346665713339906691678695824546016795261645844130,0.0317998756748060365571123793581192211638270530839340054462923,0.00278858694898142304658839468228966852857176260435716013302659,0.0262344610580340138603385488171432567007549942783518337056490
5_Kmimic_2,0.0704283879334998029342128100438857026201491348716662385840076,0.10000000000000000000000000000000000000000000000000000000,-1.11643196784368955071149693526219114071692366550382530064498E-12,-1.11720592223873709148777905694863869090766493498413450630298E-12,-1.50675548803818151388806149368824457354859598617437722417555,-1.50734742363878885692674291823217070812687521281484571982639,-0.00104454195671368097066592470589795878660608152979212306435241,-0.0328726722924052800254613463317992313382283189914613515984949,-0.0334571873909050860542733231034140827506166745369455646485919,0.00595024500377400842639287500837007147337119807750504945611047,0.00594858357284378271246903017477562915127045001575812678370252,0.000123603307447626120221271248849506786278812620913917640945856,7.35264604232108323174652602439448167106673997812232099032966E-7,-0.000264409037856963393424763905323136026423352431899418058546835,0.00985708586445201703644646405640565463713046842340516592288831,0.0322370404390832938930908327949876073381603015305675515750700,0.00282213864656571880560067609319056781936591932757128780266109,0.0262042932146415075290177861112271829953094771437036453598801
5_Kmimic_2,0.0710152060278033666194990695395296539460699280490714859464406,0.50000000000000000000000000000000000000000000000000000000,-1.09115521594151936250465416888992180904115708782838970539767E-12,-1.09332218696738047131247320329254142195237312969557413023043E-12,-1.51022046719353763301727163102912841754711365621862978203875,-1.51192931968848016512779508918395031829020188860975771933587,-0.00299921032980354556277351934438581146748377381981351206138048,-0.0366145475763217442297713113749292926050275728803875094319568,-0.0383021102340203886289990391018236782523233745809563191918639,0.00600028544018184471008436137097783383376268323114795688148098,0.00599551995735047472552941944838182555294755624021431842857576,0.000121598566223143692894884468696524159165107623126186479432619,7.29046630576061350151786155536049079383105759026981782901719E-7,-9.52272608888736772258834605544805324329688230928042497068396E-7,0.0000238041696435041373694507998540274314229148174854722465996546,0.00100667680035502498501166858226289540139650308975529328430856,0.0000790902361796922172199328323696030310988797699226538187931163,0.000261467786694130135855958963820555659804789840250957747496205
5_Kmimic_2,0.0716069135635084176564374394850450903801809481238439198027605,0.90000000000000000000000000000000000000000000000000000000,-1.06637833058174510129022072873180630372536230057297096529413E-12,-1.06716467650489591861151632074193005724439574031578899013424E-12,-1.51363612724861715971377057862357448204601279612554550962053,-1.51427618816769437333970486410464523714092012147540833382529,-0.00111615321097759478503381407109724229227340256140453462888003,-0.0403104919780816546270068943580709301470911725949065389364111,-0.0409426273248397797394675129084208233659768449910050031048737,0.00605092197735841182248399512119273027052610049434269831137544,0.00604914841620373537909251037022863943981385978750484364223125,0.000119492662436265397294970539151877914744121875740696493441258,7.22828849724302411882707626181309417710979165737347240336368E-7,0.000266892644479605490741100243906150468602647378635372857556138,0.00980746278868821879794853501506502297083248558172690084242088,0.0319055476810990495458947425397486221456356919337602986757681,0.00278913967420915793279328849085670282149276719305079365835903,0.0274231922167169337803529856788023125174337199077530525564809
5_Kmimic_2,0.0719046135897331489290234592406649214220436832945236026781039,0.10000000000000000000000000000000000000000000000000000000,-1.05417515364912958318998451561965427203682922159443938899555E-12,-1.05490943998360201505968257594149018416243392888499056906985E-12,-1.51532563113534322216357901057297341963820016798859507882036,-1.51592346807434320070475531366060208088915406715417973014136,-0.00105550097568400822016957862297869257063358162671219199127178,-0.0421414232181701086054151690541643263309403424028413974782363,-0.0427316413800186407170810608307144558282152095063180336073675,0.00607646551059558112084772889271078924658200963983686736786627,0.00607475896721377210957636278925250882019738695294847894626826,0.000118482359221088770381901052075395840518080479067556908520385,7.19751774134952367258733997360384997648200713566066844127839E-7,-0.000265439075166069380764405109038196117927628864475720032069620,0.00985546295368861134730553160034484146839682210208881572764631,0.0323419828265878709924269322400985989778607408475897021474871,0.00282269890162890016270152976017570307827334393728799262353162,0.0273557175958459243349190656597210141473357382326391987281679
5_Kmimic_2,0.0725037317799464874996637006170558570045358142631666349661653,0.50000000000000000000000000000000000000000000000000000000,-1.03013494882406260617836992594175740013349909825162160803733E-12,-1.03219066048827957082060233919107921978019932246991968287560E-12,-1.51866832335649554754734346238427424050402625671035042757541,-1.52039424809077801182272656652885413189118496358802834946412,-0.00303061670702909785639247500551808732283751080930674525689398,-0.0457695701343912813724208387744584486698024850462255686209463,-0.0474736340145444031442789934450003042798735064413715333352952,0.00612800659598311095492598207033518576848008623530062989558316,0.00612311128441205196613856667240514312540773745992322170638311,0.000116552063153382781457289794640691044661753467767261101022564,7.13661253115984238692294871825601010746885083826009707309343E-7,-9.44212112208065799666478483474053087122699314650494362141147E-7,0.0000238070620095809950650742430457210353194208614955641020770530,0.00101241510242892848751713846528788618176548446665508389312370,0.0000790926088639670248501662347011523932976381255491887525007143,0.000271041856123292953530729082502322405790381111178036042575364
5_Kmimic_2,0.0731078418974913952022061292553508266816473853191173924933131,0.90000000000000000000000000000000000000000000000000000000,-1.00657708509921969283605951770029159408538774127452509549843E-12,-1.00732298850570183595036971990762336025545296008809725059053E-12,-1.52196304322831691391887643580520870834049520211196803999377,-1.52260951559157725173753160749950506194899597658346118486653,-0.00112781965265186709844089364991007039628980460437035298962672,-0.0493532514426110464809987168523907746472871958411765195967531,-0.0499915848154937841099572478816705182114739392154964495614289,0.00618015774105851213964146203910485272863234679733637113295093,0.00617833569172642647021222996134861555363101201195467768033570,0.000114524519383707028868906991804854061048193056131469124295148,7.07570925686172102716993834445075466737013691624773388410092E-7,0.000267954396746812259550184881489107878962382869656800189285463,0.00980583920617195379516973359131107438748147161233612806812430,0.0320078897003137202274180138166390549006542308497232727230708,0.00278971858853401535495147494478037961728038943089498855924235,0.0286552267687433648324371585488418039528751334912254476822937
5_Kmimic_2,0.0734117819134343243239466720556577076843225332967749049027836,0.10000000000000000000000000000000000000000000000000000000,-9.94976831135565111984135947527388337552844246004823925727054E-13,-9.95673092961929964511568519709102045147088929665682198937616E-13,-1.52359258144390044416687713256780482937243645195984089119433,-1.52419617180313211319170886924006635217713840872216373038433,-0.00106617493010501499822441634208084927561299110454791016440848,-0.0511286006294231670830693647101664836617268154037655533449848,-0.0517243689856568438703782415852924724900212902509415283664295,0.00620646386456784219711010823152588168853307338039083253632836,0.00620471103298656485798696442549260195729911790247512996264813,0.000113551930815558271352627567182022582089928731650647931507829,7.04556917948221507999694683794742033272074484003210119343904E-7,-0.000266530577819326736846604294482046444601031217840028838359129,0.00985380510137751233693978157074799505982875959815187457070350,0.0324436098002672240541126160812338360071005588261401697654701,0.00282328556254615831833736570601767142012730446368855407746062,0.0285462878838897604507556891175077692931124146735537297054306
