# BON2020_LIS spectra tabulated for shieldSim
# Source model: Badhwar-O'Neill 2020 LIS parameters (Z=1 and Z=2)
# Energy column: total kinetic energy [MeV]
# Flux columns: differential flux [particles / (m^2 sr s MeV)]
# NOTE:
#   proton flux is tabulated directly versus total kinetic energy (same as MeV/n for A=1)
#   alpha flux is converted from BON2020's MeV/n representation to total kinetic energy:
#       E_total = 4*T_n,  flux_per_MeV(total) = flux_per_MeV_per_nucleon / 4
# Columns:
#   E_MeV_total   proton_flux   alpha_flux
2.63537052e+03 9.31000137e-14 0.00000000e+00
2.68446481e+03 8.97924686e-14 0.00000000e+00
2.73447368e+03 8.65821141e-14 0.00000000e+00
2.78541416e+03 8.34671699e-14 0.00000000e+00
2.83730362e+03 8.04458307e-14 0.00000000e+00
2.89015972e+03 7.75162698e-14 0.00000000e+00
2.94400048e+03 7.46766427e-14 0.00000000e+00
2.99884423e+03 7.19250910e-14 0.00000000e+00
3.05470967e+03 6.92597456e-14 0.00000000e+00
3.11161583e+03 6.66787300e-14 0.00000000e+00
3.16958209e+03 6.41801639e-14 0.00000000e+00
3.22862820e+03 6.17621652e-14 0.00000000e+00
3.28877429e+03 5.94228541e-14 0.00000000e+00
3.35004083e+03 5.71603546e-14 0.00000000e+00
3.41244871e+03 5.49727979e-14 0.00000000e+00
3.47601918e+03 5.28583244e-14 0.00000000e+00
3.54077391e+03 5.08150861e-14 0.00000000e+00
3.60673495e+03 4.88412486e-14 0.00000000e+00
3.67392478e+03 4.69349931e-14 0.00000000e+00
3.74236629e+03 4.50945185e-14 0.00000000e+00
3.81208280e+03 4.33180426e-14 0.00000000e+00
3.88309805e+03 4.16038042e-14 0.00000000e+00
3.95543624e+03 3.99500644e-14 0.00000000e+00
4.02912203e+03 3.83551076e-14 0.00000000e+00
4.10418050e+03 3.68172433e-14 0.00000000e+00
4.18063724e+03 3.53348066e-14 0.00000000e+00
4.25851829e+03 3.39061596e-14 0.00000000e+00
4.33785019e+03 3.25296924e-14 0.00000000e+00
4.41865996e+03 3.12038232e-14 0.00000000e+00
4.50097513e+03 2.99269999e-14 0.00000000e+00
4.58482375e+03 2.86977000e-14 0.00000000e+00
4.67023439e+03 2.75144313e-14 0.00000000e+00
4.75723614e+03 2.63757326e-14 0.00000000e+00
4.84585864e+03 2.52801736e-14 0.00000000e+00
4.93613210e+03 2.42263554e-14 0.00000000e+00
5.02808725e+03 2.32129107e-14 0.00000000e+00
5.12175544e+03 2.22385040e-14 0.00000000e+00
5.21716858e+03 2.13018314e-14 0.00000000e+00
5.31435916e+03 2.04016208e-14 0.00000000e+00
5.41336030e+03 1.95366319e-14 0.00000000e+00
5.51420574e+03 1.87056557e-14 0.00000000e+00
5.61692982e+03 1.79075148e-14 0.00000000e+00
5.72156756e+03 1.71410632e-14 0.00000000e+00
5.82815458e+03 1.64051856e-14 0.00000000e+00
5.93672722e+03 1.56987975e-14 0.00000000e+00
6.04732245e+03 1.50208446e-14 0.00000000e+00
6.15997796e+03 1.43703030e-14 0.00000000e+00
6.27473213e+03 1.37461780e-14 0.00000000e+00
6.39162405e+03 1.31475043e-14 0.00000000e+00
6.51069356e+03 1.25733453e-14 0.00000000e+00
6.63198120e+03 1.20227930e-14 0.00000000e+00
6.75552832e+03 1.14949667e-14 0.00000000e+00
6.88137699e+03 1.09890135e-14 0.00000000e+00
7.00957009e+03 1.05041072e-14 0.00000000e+00
7.14015130e+03 1.00394479e-14 0.00000000e+00
7.27316511e+03 9.59426124e-15 0.00000000e+00
7.40865683e+03 9.16779847e-15 0.00000000e+00
7.54667263e+03 8.75933527e-15 0.00000000e+00
7.68725952e+03 8.36817151e-15 0.00000000e+00
7.83046540e+03 7.99363060e-15 0.00000000e+00
7.97633907e+03 7.63505895e-15 0.00000000e+00
8.12493021e+03 7.29182538e-15 0.00000000e+00
8.27628946e+03 6.96332059e-15 0.00000000e+00
8.43046837e+03 6.64895656e-15 0.00000000e+00
8.58751948e+03 6.34816601e-15 0.00000000e+00
8.74749630e+03 6.06040183e-15 0.00000000e+00
8.91045332e+03 5.78513652e-15 0.00000000e+00
9.07644607e+03 5.52186167e-15 0.00000000e+00
9.24553110e+03 5.27008736e-15 0.00000000e+00
9.41776601e+03 5.02934167e-15 0.00000000e+00
9.59320948e+03 4.79917012e-15 0.00000000e+00
9.77192128e+03 4.57913518e-15 0.00000000e+00
9.95396231e+03 4.36881570e-15 0.00000000e+00
1.01393946e+04 4.16780644e-15 0.00000000e+00
1.03282813e+04 3.97571756e-15 0.00000000e+00
1.05206867e+04 3.79217414e-15 0.00000000e+00
1.07166765e+04 3.61681568e-15 0.00000000e+00
1.09163173e+04 3.44929564e-15 0.00000000e+00
1.11196773e+04 3.28928099e-15 0.00000000e+00
1.13268257e+04 3.13645171e-15 0.00000000e+00
1.15378330e+04 2.99050043e-15 0.00000000e+00
1.17527712e+04 2.85113194e-15 0.00000000e+00
1.19717134e+04 2.71806277e-15 0.00000000e+00
1.21947344e+04 2.59102081e-15 0.00000000e+00
1.24219100e+04 2.46974490e-15 0.00000000e+00
1.26533176e+04 2.35398443e-15 0.00000000e+00
1.28890361e+04 2.24349897e-15 0.00000000e+00
1.31291459e+04 2.13805790e-15 0.00000000e+00
1.33737286e+04 2.03744006e-15 0.00000000e+00
1.36228676e+04 1.94143339e-15 0.00000000e+00
1.38766479e+04 1.84983462e-15 0.00000000e+00
1.41351558e+04 1.76244889e-15 0.00000000e+00
1.43984795e+04 1.67908950e-15 0.00000000e+00
1.46667087e+04 1.59957753e-15 0.00000000e+00
1.49399346e+04 1.52374163e-15 0.00000000e+00
1.52182505e+04 1.45141764e-15 0.00000000e+00
1.55017512e+04 1.38244836e-15 0.00000000e+00
1.57905331e+04 1.31668329e-15 0.00000000e+00
1.60846948e+04 1.25397834e-15 0.00000000e+00
