# BON2020_LIS spectra tabulated for shieldSim
# Source model: Badhwar-O'Neill 2020 LIS parameters (Z=1 and Z=2)
# Energy column: total kinetic energy [MeV]
# Flux columns: differential flux [particles / (m^2 sr s MeV)]
# NOTE:
#   proton flux is tabulated directly versus total kinetic energy (same as MeV/n for A=1)
#   alpha flux is converted from BON2020's MeV/n representation to total kinetic energy:
#       E_total = 4*T_n,  flux_per_MeV(total) = flux_per_MeV_per_nucleon / 4
# Columns:
#   E_MeV_total   proton_flux   alpha_flux
1.60846948e+04 0.00000000e+00 7.30576281e-16
1.63843365e+04 0.00000000e+00 6.99962805e-16
1.66895601e+04 0.00000000e+00 6.70556257e-16
1.70004698e+04 0.00000000e+00 6.42313062e-16
1.73171713e+04 0.00000000e+00 6.15191017e-16
1.76397728e+04 0.00000000e+00 5.89149260e-16
1.79683839e+04 0.00000000e+00 5.64148231e-16
1.83031168e+04 0.00000000e+00 5.40149644e-16
1.86440853e+04 0.00000000e+00 5.17116451e-16
1.89914058e+04 0.00000000e+00 4.95012814e-16
1.93451965e+04 0.00000000e+00 4.73804070e-16
1.97055780e+04 0.00000000e+00 4.53456699e-16
2.00726730e+04 0.00000000e+00 4.33938299e-16
2.04466067e+04 0.00000000e+00 4.15217549e-16
2.08275063e+04 0.00000000e+00 3.97264185e-16
2.12155017e+04 0.00000000e+00 3.80048969e-16
2.16107251e+04 0.00000000e+00 3.63543657e-16
2.20133111e+04 0.00000000e+00 3.47720976e-16
2.24233968e+04 0.00000000e+00 3.32554595e-16
2.28411221e+04 0.00000000e+00 3.18019095e-16
2.32666291e+04 0.00000000e+00 3.04089946e-16
2.37000629e+04 0.00000000e+00 2.90743479e-16
2.41415712e+04 0.00000000e+00 2.77956862e-16
2.45913043e+04 0.00000000e+00 2.65708074e-16
2.50494154e+04 0.00000000e+00 2.53975878e-16
2.55160607e+04 0.00000000e+00 2.42739804e-16
2.59913992e+04 0.00000000e+00 2.31980117e-16
2.64755927e+04 0.00000000e+00 2.21677802e-16
2.69688063e+04 0.00000000e+00 2.11814535e-16
2.74712079e+04 0.00000000e+00 2.02372665e-16
2.79829688e+04 0.00000000e+00 1.93335194e-16
2.85042632e+04 0.00000000e+00 1.84685750e-16
2.90352688e+04 0.00000000e+00 1.76408573e-16
2.95761666e+04 0.00000000e+00 1.68488492e-16
3.01271407e+04 0.00000000e+00 1.60910907e-16
3.06883789e+04 0.00000000e+00 1.53661769e-16
3.12600724e+04 0.00000000e+00 1.46727562e-16
3.18424160e+04 0.00000000e+00 1.40095286e-16
3.24356081e+04 0.00000000e+00 1.33752439e-16
3.30398507e+04 0.00000000e+00 1.27686997e-16
3.36553498e+04 0.00000000e+00 1.21887406e-16
3.42823149e+04 0.00000000e+00 1.16342555e-16
3.49209598e+04 0.00000000e+00 1.11041770e-16
3.55715021e+04 0.00000000e+00 1.05974792e-16
3.62341632e+04 0.00000000e+00 1.01131766e-16
3.69091691e+04 0.00000000e+00 9.65032266e-17
3.75967497e+04 0.00000000e+00 9.20800827e-17
3.82971391e+04 0.00000000e+00 8.78536046e-17
3.90105762e+04 0.00000000e+00 8.38154115e-17
3.97373038e+04 0.00000000e+00 7.99574582e-17
4.04775697e+04 0.00000000e+00 7.62720232e-17
4.12316259e+04 0.00000000e+00 7.27516969e-17
4.19997295e+04 0.00000000e+00 6.93893699e-17
4.27821420e+04 0.00000000e+00 6.61782218e-17
4.35791301e+04 0.00000000e+00 6.31117107e-17
4.43909653e+04 0.00000000e+00 6.01835627e-17
4.52179242e+04 0.00000000e+00 5.73877614e-17
4.60602884e+04 0.00000000e+00 5.47185389e-17
4.69183451e+04 0.00000000e+00 5.21703656e-17
4.77923865e+04 0.00000000e+00 4.97379416e-17
4.86827104e+04 0.00000000e+00 4.74161874e-17
4.95896201e+04 0.00000000e+00 4.52002361e-17
5.05134247e+04 0.00000000e+00 4.30854243e-17
5.14544388e+04 0.00000000e+00 4.10672848e-17
5.24129830e+04 0.00000000e+00 3.91415387e-17
5.33893840e+04 0.00000000e+00 3.73040879e-17
5.43839743e+04 0.00000000e+00 3.55510083e-17
5.53970928e+04 0.00000000e+00 3.38785424e-17
5.64290847e+04 0.00000000e+00 3.22830930e-17
5.74803016e+04 0.00000000e+00 3.07612168e-17
5.85511016e+04 0.00000000e+00 2.93096182e-17
5.96418495e+04 0.00000000e+00 2.79251429e-17
6.07529169e+04 0.00000000e+00 2.66047731e-17
6.18846824e+04 0.00000000e+00 2.53456211e-17
6.30375315e+04 0.00000000e+00 2.41449243e-17
6.42118571e+04 0.00000000e+00 2.30000402e-17
6.54080591e+04 0.00000000e+00 2.19084414e-17
6.66265452e+04 0.00000000e+00 2.08677107e-17
6.78677305e+04 0.00000000e+00 1.98755367e-17
