model,a,H_saved,H_analytic,H_reconstructed_interpolation,relative_background_residual,relative_interpolation_residual,nominal_variant_max_relative
5_Kmimic_3,0.000021544346486,1441243463.8,1441243463.83771231889904919600709026434138441715170191878617,1441243463.83886792446721086006623526255864587793564192984292,2.61665151275896430151233194877818631590327778826845380313953E-11,2.69683266168527946279414418702548865157392715874706079771740E-11,0
5_Kmimic_3,0.000046415887724,321967585.49,321967585.499820878906881794279430460580221529890796882535210,321967585.499996409419276116464773365668941595423023457142039,3.05026945232263387440177936449108077006734772027966025831052E-11,3.10478752193401405144731433622481081584428140191024513958414E-11,0
5_Kmimic_3,0.00010000000443,74407658.226,74407658.2303022266876487980152997600465853999254239362762604,74407658.2304331964422775074093382724308010905353761016170156,5.78196759577192699154527834756203473864136088570486954770054E-11,5.95798409425590873646621960148092649863821123558402307006494E-11,0
5_Kmimic_3,0.00021544346877,18151310.140,18151310.1394124884787863480864427673068164135873578383707195,18151310.1394132708311192934343818830110575331038190908679474,3.23674443708035233624867528809458385818844054680727305340396E-11,3.23243426703250945398763920267888109690416612567780189997900E-11,0
5_Kmimic_3,0.00046415895732,4747786.8607,4747786.86074000179079941698585659243787757753562054908040077,4747786.86076877529252543694060682875469933506257835723397311,8.42535521764812498499808681927053688240616609307677493494243E-12,1.44857582158396738974491070339113358725955126862181646469076E-11,0
5_Kmimic_3,0.0010000001139,1330852.1417,1330852.14174832627903096652656936968253805775332290866293208,1330852.14175397364094850177903976919324543370342340471460182,3.63122825706849813529570530239658231682550265852104500283093E-11,4.05557005584167669220607405720163365702631337155554812063863E-11,0
5_Kmimic_3,0.0021544348376,393317.65570,393317.655698508353540297824729167347995538877072783380017210,393317.655699497985580803865343542955986879357930972656043223,3.79247266957148008556243412100943966654640055811255055235498E-12,1.27635871901728782844732086386388494135261865585506692014996E-12,0
5_Kmimic_3,0.0046415889407,120122.15431,120122.154310581481682700871697840858757017185222632588508233,120122.154310682511987893841828373268785355998113552641881601,4.84075303209617310618990785478530284703837741237288425120022E-12,5.68181607972665005716252670939503521340205891931483556565676E-12,0
5_Kmimic_3,0.0099999997765,37344.858663,37344.8586628000880607405841258225357624637171300090651482431,37344.8586628308964337387246645592442222810459085603639081502,5.35313149966428282844306764477532680683624982117930046910672E-12,4.52816190274720000058273557587500813725160494255958673301138E-12,0
5_Kmimic_3,0.10900000127,1025.2411009,1025.24080134469454219646049671331546978100660873044335962760,1025.24110094231016211270504873857996657365667361260933814663,2.92180351719065128149981569403758375398613086016177680143178E-7,4.12684997449061709034190159951044582460438453553550236743185E-11,0
