model,a,A,eps2,cs2,rho_plus_p_scaled,udot,vdot,w_phi,H_km_s_Mpc
5_Kmimic_1,1.38038426460288483784271248990803023939646095941097816367092E-9,0.990000000000290413964243172094714339444606272005497161554003,3.52016926258073126365455757805705270953935552300167774888270E-13,0.333329379825700663619724776140453980022231895051400803308801,611550169766605815054477061282.908594785995776703880031645277,-1834650509299171652444909414543.9648587476607771980012485118,-611542916461598755162457561807.159684405928877219064209623593,0.333328062012392984170545753033742183069777761490178272376981,339454384434258152.745316933614258001235593578845124481944172
5_Kmimic_1,1.39636836105593760462158088254511321987312368388783025159776E-9,0.990000000000294454024921947504191905142614371245013814509712,3.56913969502577779897165452620877893981019662141952462080543E-13,0.333329334046831471457191929544125360928035970324150238880166,584025958316437546532018342267.327907166310453123613288083261,-1752077874948687333117047671560.3182522526272041664283647236,-584018951254833617913578586095.751125413836169863071226701228,0.333328000974410214131331276604205038010382090346488982067358,331727468249949275.799497358252365057660425734656066711020480
5_Kmimic_1,1.41253754462275430215560786393024092978971615010126851091197E-9,0.990000000000298550288443195973352756146472812419491371864225,3.61879137404561506059489393551947622737322535502515682226875E-13,0.333329287737881340221074509761652514618273485090104352611755,557740537722408627273095605074.534647780184311041632816498132,-1673221613166620411705999750379.7942101472144006294059922115,-557733768544458400443861510930.661557014289444635138554958569,0.333327939229664500134472308819409765690759580100363310906829,324176438048824781.281540813708286445708490289399728719841318
5_Kmimic_1,1.42889395851110285651559225478167779231565355828629133844882E-9,0.990000000000302703536666337899471781897153031642565576307634,3.66913377672411022500746251870410385044526233473852412025944E-13,0.333329240892712528116050198219070238411633898091181016857260,532638153304068498905230049265.594124616536744241273114803769,-1597914459911619233709849594005.9289175462107741785373711958,-532631613933828763562781098192.709467411379515586210926817718,0.333327876769972454468680023082966373464658430971882419626085,316797290178287063.072974088696566676371422347080409462725911
5_Kmimic_1,1.44543977074592751193148154583535282158205867852702899338559E-9,0.990000000000306914562327541649760199314682166779321944358534,3.72017651198449937982008837374619377334359192696713238314616E-13,0.333329193505116228701474294994527746781103325618020973102281,508665559751812471355909742272.822679258236179679628515499558,-1525996679254869748872610574219.1941752731565277892348524557,-508659242387511262348013045433.891147483778677389457929239894,0.333327813587055942761137731714389810461833858585335333114977,309586112119984518.637725113152407616459047345730526967764461
5_Kmimic_1,1.46217717445671818882833263042850247762110739194032965086266E-9,0.990000000000311184169191034197446882793190006985251930355890,3.77192932242345582909627608872233765522424195372395036913463E-13,0.333329145568811748164826502027672173561633351611375850944894,485771908186695783490969031502.749524858426568595184199339565,-1457315724559537693120109150363.9576528042289123363477619745,-485765805291424505757799783922.102485353004112119962833111225,0.333327749672540987152535937839113327425259115311467234239811,302539080415342997.792236658317891684717289630102478821001677
5_Kmimic_1,1.47910838816820742219934634685515628435906732437836813946901E-9,0.990000000000315513172202516698471737568273877061601094104633,3.82440208617067283006128034595793443766360788943813254027966E-13,0.333329097077445673072220832483815067374123518430992270284646,463908638303389749985315066041.065671868419236807072085511590,-1391725914909637029192251766542.2719323110904642795818359590,-463902742596111297750645098813.778058325598485025534670865457,0.333327685017956656778198293483953779733156419436512097909887,295652458638317918.979569970445104763787434035392622773548790
5_Kmimic_1,1.49623565609443341188028511438788715777136004580284463413781E-9,0.990000000000319902397644714291431601556526613020758797795175,3.87760481877431570228449026177870198492937689079879971864768E-13,0.333329048024591028485796243826810123827322661278020495139944,443029375367501037038389900241.625258356935828320859595994374,-1329088126101987773808861280122.0038531765845737976896162388,-443023679814363179520454596043.679656087366109403597552911819,0.333327619614733945408466263625083305499766763022735192112306,288922595414292179.446952761912129479882444759925220774152587
5_Kmimic_1,1.51356124843620816246406942855158517487659632791583615527994E-9,0.990000000000324352683295089810781259688048634569609816916481,3.93154767511270318814712526740666216401477920739240059733318E-13,0.333328998403746426336531786894840022288639648219610829798852,423089831848771854622555716133.902184435220544053034538376245,-1269269495545816574433665746189.9372678043876076942247825146,-423084329654715524732362113210.715466569976848573295169763300,0.333327553454204636099813695990817842232624215901992299974129,282345922484069452.836264786373146019340690301270166432631439
5_Kmimic_1,1.53108746168203014193529252107480765408127418031780036427074E-9,0.990000000000328864878585751516321224754558048391950576853672,3.98624095133258294981992577637600964246736000795992443201766E-13,0.333328948208335203939741555670214667542705337766809854677153,404047713481512168301663052486.554392769255910865027680918553,-1212143140444053344748238794063.8278933377529732944667957056,-404042398082164642629382406294.911902176635191269654885905582,0.333327486527600152706446335405611775859490191966023628891430,275918952811936377.867576006753168627438301756449285907456309
