model,a,function,first_analytic_vs_stencil,first_source_vs_analytic,second_source_vs_stencil
5_Kmimic_1,0.316227766016837933199889354443271853371955513932521682685750,v,4.23420760887706585439702017026770548271008902680339044069604E-25,3.21230592610631633988461779854757890604180302301181231882496E-60,1.42291398026939775105019435263604417292602022692504874242299E-25
5_Kmimic_1,1,u,4.48237474240468494407933261343082374004654380778665324863200E-24,2.15736838794892760550978048933895213535442480659160953519085E-59,1.10990121780881547660563664410465696790317847405204091965368E-24
5_Kmimic_1,1,v,2.29195496584682249179804082855530515224597779293324098530104E-25,1.89601923497271700252508588913733146896589024976931206411427E-59,8.50713681752195683446876056214570797925321026252299168575280E-25
5_Kmimic_2,1E-9,u,8.53328327514445126080052272834502300098113574192845620329716E-24,1.02617765067562078325580271820526061854169562079377358763518E-59,2.84443192986758667829670369545305037860533935970805331823361E-24
5_Kmimic_2,1E-9,v,8.53333333331288612127992174457795201294288469025245394485014E-24,1.07749577963579651656559919225516658227813749922968633657706E-58,2.84444444443994436359070136015821414625808601165976087118859E-24
5_Kmimic_2,3.16227766016837933199889354443271853371955513932521682685750E-9,u,8.53317503848002034487685417525104270199155540273114903512499E-24,1.52213527138740588131403876283952841763535046227484749308815E-58,2.84440487045153998801883711351349891777926434246195593978267E-24
5_Kmimic_2,3.16227766016837933199889354443271853371955513932521682685750E-9,v,8.53333333320347357084755266156841858910597550620767128926479E-24,2.56546614194670503696078867564166758851776203915448446242370E-58,2.84444444441441518363009056080728726722890043647879151492961E-24
5_Kmimic_2,1E-8,u,8.53283279093522610066396725540508146587273970094112948084113E-24,7.86675441913235400649981373621168941469014879034295355424833E-59,2.84431930611626727325250956768239999359277428746679138544858E-24
5_Kmimic_2,1E-8,v,8.53333333276785147886670004532437839895578102891974175864059E-24,4.66914837802934295225317625602602790468883765305024041838298E-58,2.84444444431277525514027165103465202186243492370713381705104E-24
5_Kmimic_2,3.16227766016837933199889354443271853371955513932521682685750E-8,u,8.53175077505291889475426901720896292091050756552349220309710E-24,2.18860385415243602889700320759024974055694929792989964529931E-58,2.84404877786267578458092114403032224003861929779164188548884E-24
5_Kmimic_2,3.16227766016837933199889354443271853371955513932521682685750E-8,v,8.53333333103306882650610119643593916336299880790999261872103E-24,1.53927968465285641218715855371719697780119375188371793589774E-59,2.84444444390805843153262940622489985118673827124142472592946E-24
5_Kmimic_2,1E-7,u,8.52833178723892332701276175512678747270081956278109825653494E-24,4.61387968055819517710959422199503409398771528653826743126522E-59,2.84319378913950335624724527170199983179822915852048958789220E-24
5_Kmimic_2,1E-7,v,8.53333332411997816486118747129978294066055981899079868491784E-24,5.13093227670774461175899719047255722006321046081384199063230E-59,2.84444444229583225704790182278914260246873768296596968150975E-24
5_Kmimic_2,3.16227766016837933199889354443271853371955513932521682685750E-7,u,8.51754635857485120673659495467672876717279188353475705825958E-24,2.57557993550695722028037770523426865623713414383226897765715E-58,2.84049502584579983956407094754110666294444888589517056462283E-24
5_Kmimic_2,3.16227766016837933199889354443271853371955513932521682685750E-7,v,8.53333329651290533912074880157849126456723212189956960137371E-24,1.74451696666050281678148628745797762144855359757573311841187E-58,2.84444443586460977297529608611009720787707123623269675027076E-24
5_Kmimic_2,0.000001,u,8.48370111347769368080864292060129862901413057736855105141545E-24,2.18752880933704866888920703283497746372579041032096735908802E-58,2.83200992892944457229385209532354074364024914503272623120116E-24
5_Kmimic_2,0.000001,v,8.53333318552999270248708946449235629584140625564843067030189E-24,4.41260166390026535302981713666401840409806109793595511407782E-58,2.84444441009987550193080727621484864943175424451819224244192E-24
5_Kmimic_2,0.00000316227766016837933199889354443271853371955513932521682685750,u,8.37921834857842299398610781052211249834214559137307319391739E-24,2.44773340649420186562260311998786365412642663704257939590352E-58,2.80565948155709827155747537049976358425304212549727997379318E-24
5_Kmimic_2,0.00000316227766016837933199889354443271853371955513932521682685750,v,8.53333273013822947150424963475783786188283380287024422605168E-24,3.07855908614935389585867509108336096609175772601969228065509E-59,2.84444430549449626652102567383238528397728892743432582471895E-24
5_Kmimic_2,0.00001,u,8.07231749708303928661404645439156051300904323286696194683186E-24,2.53597925479445461574996249047568616526725664810955483770923E-58,2.72686723288703044044935046679823689320200323637322183973768E-24
5_Kmimic_2,0.00001,v,8.53333074647062330709920093032263144652822745913414831630761E-24,1.18011396478174856094663950004508210096925946702241369620633E-58,2.84444386344491204578810968796457035055189097528776286883379E-24
5_Kmimic_2,0.0000316227766016837933199889354443271853371955513932521682685750,u,7.28825127386556531685882082014447798567972458520006654738601E-24,7.66796099655234931849227052634468650715860972935161049060056E-59,2.51562726171277017023832230770750048880111220379505241961609E-24
