check,file,files,values,values_failing,bulk_values,bulk_failing,near_zero_values,near_zero_failing,rtol,atol,max_relative_error_above_atol,max_absolute_error_below_atol,bulk_margin,near_zero_margin,review_flags
designer-mc5e,4_Des_mc5e_wCDM_2_lensedtotCls.dat,1,16995,0,13556,0,3439,0,0.0001,0.1,9.801038910171272e-06,4.000000000010939e-07,10.202999999951283,249999.99999931632,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_2_lenspotentialCls.dat,1,27992,0,13947,0,14045,0,0.0001,0.1,9.699509204897779e-06,5.000000000005e-07,10.309799999932459,199999.9999998,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_2_matterpower.dat,1,1310,0,725,0,585,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
designer-mc5e,4_Des_mc5e_wCDM_2_scalCls.dat,1,20994,0,9513,0,11481,0,0.0001,100.0,6.08635317889673e-06,0.00010000000000331966,16.430200000014942,999999.9999668035,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_2_scalarCovCls.dat,1,90974,0,17422,0,73552,0,0.0001,0.1,9.588187353243695e-06,5.000000000005e-07,10.429499999931675,199999.9999998,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_2_tensCls.dat,1,17495,0,6808,0,10687,0,0.0001,0.01,0.0,9.999999999940612e-09,,1000000.0000059388,bulk: no measured spread; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_2_totCls.dat,1,17495,0,13947,0,3548,0,0.0001,0.1,9.699509204897779e-06,5.000000000005e-07,10.309799999932459,199999.9999998,bulk: below 50; near-zero: above 10000
designer-mc5e,4_Des_mc5e_wCDM_2_transfer_out.dat,1,3289,0,1985,0,1304,0,0.0001,1000.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
gr-baseline,1_EFT_GR_lensedCls.dat,1,16995,0,13547,0,3448,0,0.0001,0.1,4.405635689202453e-06,1.0000000000287557e-07,22.6981999998513,999999.9999712444,bulk: below 50; near-zero: above 10000
gr-baseline,1_EFT_GR_lensedtotCls.dat,1,16995,0,13556,0,3439,0,0.0001,0.1,9.840001574377319e-06,1.0000000000287557e-07,10.162600000023685,999999.9999712444,bulk: below 50; near-zero: above 10000
gr-baseline,1_EFT_GR_lenspotentialCls.dat,1,27992,0,13947,0,14045,0,0.0001,0.1,8.354847064393703e-06,1.0000000000287557e-07,11.969100000187357,999999.9999712444,bulk: below 50; near-zero: above 10000
gr-baseline,1_EFT_GR_matterpower.dat,1,1308,0,725,0,583,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
gr-baseline,1_EFT_GR_scalCls.dat,1,20994,0,9538,0,11456,0,0.0001,100.0,4.909903274901019e-06,0.00010000000000331966,20.367000000018525,999999.9999668035,bulk: below 50; near-zero: above 10000
gr-baseline,1_EFT_GR_scalarCovCls.dat,1,90974,0,17425,0,73549,0,0.0001,0.1,7.448456679824747e-06,1.0000000000287557e-07,13.425599999912047,999999.9999712444,bulk: below 50; near-zero: above 10000
gr-baseline,1_EFT_GR_tensCls.dat,1,17495,0,6832,0,10663,0,0.0001,0.01,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
gr-baseline,1_EFT_GR_totCls.dat,1,17495,0,13947,0,3548,0,0.0001,0.1,8.354847064393703e-06,1.0000000000287557e-07,11.969100000187357,999999.9999712444,bulk: below 50; near-zero: above 10000
gr-baseline,1_EFT_GR_transfer_out.dat,1,3276,0,1980,0,1296,0,0.0001,1000.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
horava,5_Horava_SolSyst_1_lensedCls.dat,1,16995,0,13547,0,3448,0,0.0001,0.1,5.129178356907051e-06,1.9999999999881224e-08,19.49630000004544,5000000.000029694,bulk: below 50; near-zero: above 10000
horava,5_Horava_SolSyst_1_lensedtotCls.dat,1,16995,0,13556,0,3439,0,0.0001,0.1,5.664310313563018e-06,1.0000000000287557e-07,17.654400000041143,999999.9999712444,bulk: below 50; near-zero: above 10000
horava,5_Horava_SolSyst_1_lenspotentialCls.dat,1,27992,0,13947,0,14045,0,0.0001,0.1,9.145114679879221e-06,9.999999998899778e-08,10.934799999831244,1000000.0001100223,bulk: below 50; near-zero: above 10000
horava,5_Horava_SolSyst_1_matterpower.dat,1,1308,0,725,0,583,0,0.0001,1.0,0.0,0.0,,,bulk: no measured spread; near-zero: no measured spread
