model,arm,a,k,C_recorded,C_analytic,C_error_over_exact_AH2,restoring_recorded_over_A,restoring_analytic_over_A,A1_relative_error,D1_relative_error,adotoa_relative_error,Omega_relative_error,Gamma1_relative_error
5_Kmimic_1,stock-trace,9.999999919769415E-9,3.9114913248316183,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,5.09935766215426755916021405586559640242926399121253525182074,5.09954545154398623295502018390652765794573526464562582066035,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,3.613500538631081,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,4.35196246704733605609419996924503763752557391431818682734807,4.35215025592310691180976001295989924667626170289676284013185,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,3.3382117096346113,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,3.71410769892049649286786827784886581500636099853185874341524,3.71429548735764522674421832940858618759001128698839097056200,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,3.08389532510302,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,3.16973879223528369573641548438621959758430795599665013942154,3.16992658029809604953873859165785539463064038733912190778524,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,2.8489536324924214,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,2.70515418556079645803346416023214265586259571234603934251806,2.70534197330413626708736165900742481436519401372840776747492,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,2.6319106015119442,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,2.30866045840584041787611575531446009265121636670672107616032,2.30884824587653051324775879917970361886177680488005384369743,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,2.431402650906215,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,1.97027801220616188784467181397713986177047249636034867141293,1.97046579944416260945634462924937459707163493644786763751237,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,2.246170081703264,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,1.68148988756748706674669890360950756376631342534904699160236,1.68167767460690205016131357574042589796845444543628007564623,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,2.075049163106903,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,1.43502739558848581460101141612766670433880840678399847595385,1.43521518245842036675213825498873900954261761384099581222090,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
5_Kmimic_1,stock-trace,9.999999919769415E-9,1.9169648213128905,-0.7125841034787412,0.352517224059930362709305393027510526067692080443137055895651,4.03393446002492172292094044351540223506933053841294873388830E-9,1.22468716768437649504087599742498496812040124407177241850386,1.22487495440967016390382265149874532392559119268821973865870,1.02515117130439066065890087789855113979504752468355240208977E-9,3.37499148763838721097463345771063988301894373893152530779728E-10,3.35809999732732555153476282512881723928482862746002414116581E-12,8.14744478489215727453319464593442137607321255687791140823089E-17,1.36893271128215112357631989795280808644523232995655719134594E-9
