model,arm,ic,a,H_saved,H_analytic,relative_H_residual
5_Kmimic_1,consistent-background-trace,variant,0.30700001165,228.95800876,228.958008756085685811156206807362101650020500560504002964112,1.70962099558914472480927526301198752594182765545816148894778E-11
5_Kmimic_1,consistent-background-trace,variant,0.40600000577,156.96469825,156.964698248041818618611910329657815180054029950668337494405,1.24752979696700029832483994212117057940552725879877897959136E-11
5_Kmimic_1,consistent-background-trace,variant,0.50499999989,120.31359763,120.313597634344883664945760951586609280346086732055969277972,3.61129893077477431779380429058745263979109364815086162334914E-11
5_Kmimic_1,consistent-background-trace,variant,0.60400002351,99.538585291,99.5385852913699361415598057149247014458411227640637632630610,3.71650993910478485602611248823524240993440770243221871162991E-12
5_Kmimic_1,consistent-background-trace,variant,0.70299998813,86.938549230,86.9385492298010600101171416814809973275595836714778811427499,2.28828283477049135616226652831639767773611440617433914821723E-12
5_Kmimic_1,consistent-background-trace,variant,0.80200001176,78.919333014,78.9193330133621180129164143491305087671935642907874104383223,8.08270879545355163776081977121859649289647709994139611647276E-12
5_Kmimic_1,consistent-background-trace,variant,0.90099997637,73.618120468,73.6181204680553255662547207110607606839617082090982777737045,7.51521037252340691391289530132291043782164454819786859302167E-13
5_Kmimic_1,consistent-background-trace,variant,1.0000000000,70.000000000,70.000000000000000000000000000000,0E-21
5_Kmimic_2,stock-trace,nominal,0.0000099999997474,6575939901.3,6575939901.24608954187036102925303665902923149480766095609034,8.19813729121541884353038209399982631686449410794282923109962E-12
5_Kmimic_2,stock-trace,nominal,0.000021544346486,1443086394.9,1443086394.87648021805866481287397050119870053727721251072603,1.62982493802562749987363897926382305766601814104387132975804E-11
5_Kmimic_2,stock-trace,nominal,0.000046415887724,322792020.04,322792020.045747938567811893101509654296238964718780464878229,1.78069413456914524799786936653835051839407841804364287381969E-11
5_Kmimic_2,stock-trace,nominal,0.00010000000443,74764000.715,74764000.7183464428210144690863013040842803124903812275970635,4.47600822436095343511361442187231913231516523303645975741762E-11
5_Kmimic_2,stock-trace,nominal,0.00021544346877,18297149.519,18297149.5187185234042685432127224011931930905343938823567308,1.53836309551478386909277793067866477659359637257386288072339E-11
5_Kmimic_2,stock-trace,nominal,0.00046415895732,4803440.6309,4803440.63067982696172345654768103555603314240029895706474306,4.58365274383105215197559284914232954845039834125911565453590E-11
5_Kmimic_2,stock-trace,nominal,0.0010000001139,1350675.2430,1350675.24303195706188788222440045206620401976181488578551620,2.36600634036542552442343609476951990701130706163889248376593E-11
5_Kmimic_2,stock-trace,nominal,0.0021544348376,400017.99692,400017.996913549964190356777688593364989806619884482405325882,1.61243640518833242284279048286610277232363545182616080182536E-11
5_Kmimic_2,stock-trace,nominal,0.0046415889407,122314.73312,122314.733118570484957027729675227754542208600275054041117909,1.16871860528020610439136398435482252470777322666572973510977E-11
5_Kmimic_2,stock-trace,nominal,0.0099999997765,38049.896533,38049.8965322165975758101589423399278240146845892414007260245,2.05888187766925998873404656883384700676762619247120253397931E-11
5_Kmimic_2,stock-trace,nominal,0.10900000127,1045.0426541,1045.04157244180237465567920328996859939431758540276871796455,0.00000103503736750044710045554305322646799552733895561099418477794
5_Kmimic_2,stock-trace,nominal,0.20800000277,399.94277576,399.941415576751700621892936809491820065344964254903977697780,0.00000340094466193234810653750639003649909317153131522863094708047
5_Kmimic_2,stock-trace,nominal,0.30700001165,228.32429811,228.323755783806577134380245722310767744849356146072755811399,0.00000237524520128641169680842466702045192435718871920016958461417
5_Kmimic_2,stock-trace,nominal,0.40600000577,156.58299356,156.580414378048716925657705635945716924739936110023171946144,0.0000164716607636880738039605790653468412337070277226858112955852
5_Kmimic_2,stock-trace,nominal,0.50499999989,120.07119931,120.070401108009198906279676629701934977626822712893019313963,0.00000664773896977821167332662913888090132359057809248333422847028
5_Kmimic_2,stock-trace,nominal,0.60400002351,99.388078042,99.3848702163112406055377073838461261144396688965871374972961,0.0000322757593461442384443188260387980826704545382264401178820413
5_Kmimic_2,stock-trace,nominal,0.70299998813,86.845351399,86.8451451442483837112568195176701135761322757976563748442825,0.00000237496593995776852968597808467281814474729803177355806671045
5_Kmimic_2,stock-trace,nominal,0.80200001176,78.872253775,78.8679288583156226956264937927568015784773197296045023510260,0.0000548344503596290744324708786755906484514588146178234270192186
5_Kmimic_2,stock-trace,nominal,0.90099997637,73.597052210,73.5965658282905528334276772633161607908769585532480344082971,0.00000660871182801366946654148723056864838311771769759026470796744
5_Kmimic_2,stock-trace,nominal,1.0000000000,70.000000000,70.000000000000000000000000000000,0E-21
5_Kmimic_2,stock-trace,variant,0.0000099999997474,6575939901.3,6575939901.24608954187036102925303665902923149480766095609034,8.19813729121541884353038209399982631686449410794282923109962E-12
5_Kmimic_2,stock-trace,variant,0.000021544346486,1443086394.9,1443086394.87648021805866481287397050119870053727721251072603,1.62982493802562749987363897926382305766601814104387132975804E-11
5_Kmimic_2,stock-trace,variant,0.000046415887724,322792020.04,322792020.045747938567811893101509654296238964718780464878229,1.78069413456914524799786936653835051839407841804364287381969E-11
5_Kmimic_2,stock-trace,variant,0.00010000000443,74764000.715,74764000.7183464428210144690863013040842803124903812275970635,4.47600822436095343511361442187231913231516523303645975741762E-11
5_Kmimic_2,stock-trace,variant,0.00021544346877,18297149.519,18297149.5187185234042685432127224011931930905343938823567308,1.53836309551478386909277793067866477659359637257386288072339E-11
