comparison,model,tag,field,matched_k,max_k_relative_gap,max_absolute_difference,max_relative_difference,reference_k,candidate_k,reference_value,candidate_value,zero_to_nonzero
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,delta_cdm,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,1.25621533276421e-13,1.25621533276421e-13,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,delta_baryon,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,1.25621533276421e-13,1.25621533276421e-13,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,delta_photon,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,1.6749537770189464e-13,1.6749537770189464e-13,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,adotoa,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,10.001816055413403,10.001816055413403,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,h0_Mpc,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,0.00023349486663870643,0.00023349486663870643,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,E_dot,252,0.0,0.0,,,,,,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_TRACE,ic_type,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,1.0,1.0,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_C_DERIV,k,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,7.089117726731538e-06,7.089117726731538e-06,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_C_DERIV,a,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,2.1579406240381099e-07,2.1579406240381099e-07,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_C_DERIV,derivative,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,-171905664.12873816,-171905664.12873816,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_C_DERIV,estimated_absolute_error,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,218066029.81082872,218066029.81082872,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_D_DERIV,k,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,7.089117726731538e-06,7.089117726731538e-06,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_D_DERIV,a,252,0.0,0.0,0.0,7.089117726731538e-06,7.089117726731538e-06,2.1579406240381099e-07,2.1579406240381099e-07,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_D_DERIV,derivative,252,0.0,417626614119616.8,0.9990951996498956,33.22974864190532,33.22974864190532,-418004825031650.8,-378210912034.00183,0
stock-vs-corrected nominal,5_Kmimic_1,SAB_IC_D_DERIV,estimated_absolute_error,252,0.0,71290918527.69025,0.9990951996498755,33.22974864190532,33.22974864190532,71355480991.875,64562464.18475342,0
stock nominal-vs-variant,5_Kmimic_2,SAB_IC_TRACE,k,251,3.9968028886505635e-15,9.237055564881302e-14,3.9323224019850544e-15,0.023821817777570826,0.02382181777757092,0.023821817777570826,0.02382181777757092,0
stock nominal-vs-variant,5_Kmimic_2,SAB_IC_TRACE,a,251,3.9968028886505635e-15,7.146840492458159e-22,3.799053123030408e-15,0.023821817777570826,0.02382181777757092,9.057707899266595e-08,9.057707899266561e-08,0
