model,a,k,grid_coordinate,grid_phase,phase_product,C,A1,adotoa,normalized_C
5_Kmimic_2,4.127554545934644e-08,0.052273589272274656,179.34190315387008,0.34190315387007786,0.22500538724377173,-1772.1302310133399,291.0785383406406,52.275444262837226,-0.0022278707118384648
5_Kmimic_2,4.37036089114438e-08,0.049369500886119515,182.09742043009777,0.09742043009777035,0.0879296898973358,-540.610162042431,259.5528001770466,49.37130168770978,-0.0008544946168452322
5_Kmimic_2,4.643519215443966e-08,0.04646541249996438,185.02004442264402,0.020044422644019733,0.01964264376488764,-94.18353978158787,229.8852643700294,46.46718941159218,-0.0001897453166889668
5_Kmimic_2,4.95310015086735e-08,0.043561324113809245,188.13135914716995,0.13135914716994535,0.11410392162472999,-426.3708147814399,202.1056550753629,43.563132974584406,-0.001111656962095107
5_Kmimic_2,5.3069089186802604e-08,0.04065723572765411,191.45742137310341,0.4574213731034149,0.2481870605316014,-721.8600881194513,176.12777110278515,40.659085104567666,-0.002479191001400205
5_Kmimic_2,5.715152406096494e-08,0.037753147341498976,195.03008760112425,0.030087601124250796,0.029182337382838777,-61.03342735101546,151.78899363642722,37.75493135615423,-0.00028208507406811157
5_Kmimic_2,6.191440023612852e-08,0.034849058955343834,198.88887540065895,0.8888754006589465,0.0987759227623438,-160.3836515600258,129.36867358760583,34.850863027598024,-0.001020713590615282
5_Kmimic_2,6.754330258392276e-08,0.0319449705691887,203.08363441148825,0.0836344114882479,0.07663969670326233,-82.5240327612923,108.707843934319,31.946769168574,-0.000743816268798366
5_Kmimic_2,7.429805631642914e-08,0.029040882183033565,207.67849722685747,0.6784972268574734,0.21813874000419167,-168.05365728152404,89.88424215652806,29.042712679934606,-0.002216613890436902
5_Kmimic_2,8.20347264822485e-08,0.0263022167024783,212.453748520726,0.453748520726009,0.24786080066496757,-126.26347688656425,73.74472286272669,26.304050697938592,-0.002474580182217832
5_Kmimic_2,9.057707899266595e-08,0.023821817777570826,217.2290325289703,0.22903252897029347,0.17657662964376517,-59.478272204019255,60.488309208000416,23.823636429549516,-0.0017324902275074677
5_Kmimic_2,1.000090297510735e-07,0.021575329891275672,222.00435274736313,0.004352747363128628,0.0043338009535214056,-0.962100666527808,49.60318127328496,21.577119843362937,-4.166045774311809e-05
5_Kmimic_2,1.1042323713838558e-07,0.01954069434431047,226.7797126864602,0.7797126864601864,0.17176081303322543,-27.346282957885176,40.7131880834501,19.542510754360503,-0.0017587433666382934
5_Kmimic_2,1.2192201425019352e-07,0.01769793265650923,231.5551163135124,0.5551163135124,0.24696219198480285,-26.000613087977683,33.40870181682406,17.699758257952265,-0.002484215794418713
5_Kmimic_2,1.3461833635768753e-07,0.016028950394259302,236.33056832558455,0.33056832558455085,0.22129290770477722,-15.406111713814793,27.40805419168277,16.030771264158254,-0.0021872881675803
5_Kmimic_2,1.4863695250707804e-07,0.014517359497756278,241.1060739599308,0.10607395993079649,0.09482227495539627,-4.36455167920422,22.479972780449952,14.519165555894727,-0.0009210019388571418
5_Kmimic_2,1.6411561267651736e-07,0.013148317363473473,245.88163872246747,0.8816387224674713,0.1043518855133964,-3.4335352923806512,18.445055539102043,13.150124928809495,-0.0010764696530042041
5_Kmimic_2,1.812064242215778e-07,0.011908381101765588,250.65726853893108,0.6572685389310777,0.22526660666248408,-4.902342182168964,15.13891974701157,11.910199729182777,-0.0022828146232921555
5_Kmimic_2,2.0007735129175412e-07,0.010785375538533926,255.43297016198278,0.43297016198278016,0.24550700081538526,-3.533253174100886,12.422420433906419,10.787194979050442,-0.002444282940191966
5_Kmimic_2,2.1579378632073532e-07,0.009768273664835882,259.0783218098905,0.07832180989049675,0.07218750398597364,-0.7464491040791104,10.676927549338641,10.001805806710166,-0.0006988710797904482
5_Kmimic_3,9.910929609411859e-09,0.21769516139717832,110.56869747316055,0.5686974731605545,0.2452806571813549,-66846.87397204233,569.9974300449531,217.6969602658706,-0.0024745912629070476
5_Kmimic_3,9.999999992368572e-09,33.082073377174574,110.9999999632114,0.9999999632113941,3.6788604585962536e-08,0.022809789862988924,559.5338772090738,215.7579105607606,8.757122859740819e-10
5_Kmimic_3,1.007644085099394e-08,0.21411942402075892,111.36709475049564,0.3670947504956388,0.23233619465418348,-58337.742260753395,551.4057466292404,214.12121920211746,-0.002307591413684813
5_Kmimic_3,1.0247574033578777e-08,0.21054368664433956,112.17893816610635,0.17893816610634872,0.14691929881684548,-33986.15096650382,533.0256034017026,210.54546478405314,-0.0014383418925344711
5_Kmimic_3,1.0424620525804897e-08,0.20696794926792017,113.00468828992231,0.0046882899223135155,0.004666309859917849,-994.369525845632,514.8895919649856,206.96970103625188,-4.5083761997762315e-05
5_Kmimic_3,1.0607892204064683e-08,0.2033922118915008,113.84482986052686,0.8448298605268576,0.13109236728902793,-27815.313824686837,497.41896088647036,203.3939852058092,-0.0013517158825889653
5_Kmimic_3,1.0797723270577258e-08,0.19981647451508142,114.69987341887618,0.6998734188761802,0.21005061642674702,-41049.9473307362,480.1819698366835,199.8182602467012,-0.0021410973234803764
5_Kmimic_3,1.099447228773121e-08,0.19624073713866205,115.57035717309398,0.5703571730939814,0.24504986819422353,-44105.63151263527,463.1915981066995,196.24252734087136,-0.0024725615703923634
5_Kmimic_3,1.11985244384937e-08,0.19266499976224266,116.45684903259433,0.4568490325943344,0.2481379940119552,-41129.22459883576,446.4688641652393,192.66678895355827,-0.002481679114536413
5_Kmimic_3,1.1410294041509374e-08,0.18908926238582327,117.35994882529558,0.35994882529557515,0.23038566846391068,-35163.73466455412,430.0307623639574,189.09104720383507,-0.002286933499843581
5_Kmimic_3,1.1630227358433298e-08,0.1855135250094039,118.28029073294984,0.28029073294983675,0.20172783797228006,-28349.80534458442,413.8906324016165,185.51530387772445,-0.0019902379357920226
5_Kmimic_3,1.1858805733480868e-08,0.18193778763298452,119.21854596850015,0.21854596850015184,0.1707836281524825,-22097.11007073414,398.05848916665207,181.9395604201606,-0.0016770048033247719
5_Kmimic_3,1.2096549110326714e-08,0.17836205025656515,120.17542571779452,0.17542571779452487,0.14465153533080058,-17229.610357184607,382.5413155383417,178.3638179300475,-0.001415740281687534
5_Kmimic_3,1.2344019980630027e-08,0.17478631288014576,121.15168437886302,0.151684378863024,0.1286762280719626,-14108.148033011517,367.3433202131788,174.788077154192,-0.0012571128089181362
5_Kmimic_3,1.2601827827154153e-08,0.1712105755037264,122.1481231351849,0.14812313518490328,0.12618267200789815,-12733.412508115296,352.4661622687367,171.21233848154097,-0.0012324158088629434
